image_id,send_time,ack_receive_time,RTT_ack,network_delay,preprocess_ms
run_20260504_193111_img_0001,1777903308.714383,1777903310.4702258,1.755842924118042,0.877921462059021,404.807
run_20260504_193111_img_0002,1777903310.6236227,1777903312.0362265,1.4126038551330566,0.7063019275665283,147.915
run_20260504_193111_img_0003,1777903312.183857,1777903313.1741316,0.9902746677398682,0.4951373338699341,142.705
run_20260504_193111_img_0004,1777903313.312383,1777903314.5362144,1.2238314151763916,0.6119157075881958,134.029
run_20260504_193111_img_0005,1777903314.685026,1777903315.6947865,1.0097606182098389,0.5048803091049194,143.747
run_20260504_193111_img_0006,1777903315.8410888,1777903316.9122202,1.0711314678192139,0.5355657339096069,141.355
run_20260504_193111_img_0007,1777903317.0628402,1777903318.89236,1.8295197486877441,0.9147598743438721,144.987
run_20260504_193111_img_0008,1777903319.0420456,1777903319.7225199,0.6804742813110352,0.3402371406555176,144.134
run_20260504_193111_img_0009,1777903319.8719406,1777903320.522747,0.6508064270019531,0.32540321350097656,144.588
run_20260504_193111_img_0010,1777903320.6709979,1777903321.241958,0.5709600448608398,0.2854800224304199,143.286
run_20260504_193111_img_0011,1777903321.3875449,1777903322.0149064,0.627361536026001,0.3136807680130005,140.731
run_20260504_193111_img_0012,1777903322.1564195,1777903322.7398815,0.5834619998931885,0.29173099994659424,137.38
run_20260504_193111_img_0013,1777903322.8762481,1777903323.3779442,0.5016961097717285,0.25084805488586426,133.46
run_20260504_193111_img_0014,1777903323.4924488,1777903324.1886125,0.6961636543273926,0.3480818271636963,110.509
run_20260504_193111_img_0015,1777903324.3055954,1777903326.1810195,1.8754241466522217,0.9377120733261108,112.037
run_20260504_193111_img_0016,1777903326.298715,1777903326.9152513,0.6165361404418945,0.30826807022094727,112.683
run_20260504_193111_img_0017,1777903327.0302606,1777903327.6333718,0.6031112670898438,0.3015556335449219,110.944
run_20260504_193111_img_0018,1777903327.7476354,1777903328.271274,0.5236387252807617,0.26181936264038086,110.296
run_20260504_193111_img_0019,1777903328.387251,1777903331.3074012,2.9201502799987793,1.4600751399993896,111.7
run_20260504_193111_img_0020,1777903331.4248228,1777903333.0347483,1.6099255084991455,0.8049627542495728,113.153
run_20260504_193111_img_0021,1777903333.1514878,1777903334.248325,1.0968372821807861,0.5484186410903931,112.739
run_20260504_193111_img_0022,1777903334.3662345,1777903336.1601615,1.7939269542694092,0.8969634771347046,113.644
run_20260504_193111_img_0023,1777903336.2756605,1777903339.2847176,3.00905704498291,1.504528522491455,111.308
run_20260504_193111_img_0024,1777903339.4029946,1777903341.4134524,2.010457754135132,1.005228877067566,114.103
run_20260504_193111_img_0025,1777903341.530159,1777903343.1926897,1.6625306606292725,0.8312653303146362,112.265
run_20260504_193111_img_0026,1777903343.308535,1777903345.3817406,2.0732054710388184,1.0366027355194092,111.684
