image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_192755_img_0086,19,4,0,4,19,0.0,0.0,0.0
run_20260501_192755_img_0087,26,4,0,4,26,0.0,0.0,0.0
run_20260501_192755_img_0088,24,3,0,3,24,0.0,0.0,0.0
run_20260501_192755_img_0089,117,0,0,0,117,0.0,0.0,0.0
run_20260501_192755_img_0090,22,2,0,2,22,0.0,0.0,0.0
run_20260501_192755_img_0091,10,1,0,1,10,0.0,0.0,0.0
run_20260501_192755_img_0092,8,3,0,3,8,0.0,0.0,0.0
run_20260501_192755_img_0093,32,27,0,27,32,0.0,0.0,0.0
run_20260501_192755_img_0094,17,45,0,45,17,0.0,0.0,0.0
run_20260501_192755_img_0095,23,30,0,30,23,0.0,0.0,0.0
run_20260501_192755_img_0096,7,35,0,35,7,0.0,0.0,0.0
run_20260501_192755_img_0097,20,18,0,18,20,0.0,0.0,0.0
run_20260501_192755_img_0098,13,11,0,11,13,0.0,0.0,0.0
run_20260501_192755_img_0099,8,1,0,1,8,0.0,0.0,0.0
run_20260501_192755_img_0100,10,6,0,6,10,0.0,0.0,0.0
run_20260501_192755_img_0101,10,1,0,1,10,0.0,0.0,0.0
run_20260501_192755_img_0102,17,7,0,7,17,0.0,0.0,0.0
run_20260501_192755_img_0103,12,15,0,15,12,0.0,0.0,0.0
run_20260501_192755_img_0104,17,7,0,7,17,0.0,0.0,0.0
run_20260501_192755_img_0105,21,20,0,20,21,0.0,0.0,0.0
run_20260501_192755_img_0106,42,16,0,16,42,0.0,0.0,0.0
run_20260501_192755_img_0107,26,10,0,10,26,0.0,0.0,0.0
run_20260501_192755_img_0108,66,17,0,17,66,0.0,0.0,0.0
run_20260501_192755_img_0109,61,7,0,7,61,0.0,0.0,0.0
run_20260501_192755_img_0110,63,9,0,9,63,0.0,0.0,0.0
run_20260501_192755_img_0111,43,6,0,6,43,0.0,0.0,0.0
run_20260501_192755_img_0112,33,20,0,20,33,0.0,0.0,0.0
run_20260501_192755_img_0113,0,18,0,18,0,0.0,0.0,0.0
run_20260501_192755_img_0114,31,14,0,14,31,0.0,0.0,0.0
run_20260501_192755_img_0115,13,0,0,0,13,0.0,0.0,0.0
run_20260501_192755_img_0116,24,1,0,1,24,0.0,0.0,0.0
run_20260501_192755_img_0117,8,1,0,1,8,0.0,0.0,0.0
run_20260501_192755_img_0118,11,6,0,6,11,0.0,0.0,0.0
run_20260501_192755_img_0119,17,19,0,19,17,0.0,0.0,0.0
run_20260501_192755_img_0120,20,1,0,1,20,0.0,0.0,0.0
run_20260501_192755_img_0121,15,3,0,3,15,0.0,0.0,0.0
run_20260501_192755_img_0122,7,2,0,2,7,0.0,0.0,0.0
run_20260501_192755_img_0123,5,14,0,14,5,0.0,0.0,0.0
run_20260501_192755_img_0124,5,7,0,7,5,0.0,0.0,0.0
run_20260501_192755_img_0125,12,12,0,12,12,0.0,0.0,0.0
run_20260501_192755_img_0126,54,2,0,2,54,0.0,0.0,0.0
run_20260501_192755_img_0127,36,6,0,6,36,0.0,0.0,0.0
run_20260501_192755_img_0128,15,5,0,5,15,0.0,0.0,0.0
run_20260501_192755_img_0129,25,0,0,0,25,0.0,0.0,0.0
run_20260501_192755_img_0130,14,3,0,3,14,0.0,0.0,0.0
run_20260501_192755_img_0131,21,8,0,8,21,0.0,0.0,0.0
run_20260501_192755_img_0132,8,8,0,8,8,0.0,0.0,0.0
run_20260501_192755_img_0133,39,6,0,6,39,0.0,0.0,0.0
run_20260501_192755_img_0134,35,6,0,6,35,0.0,0.0,0.0
run_20260501_192755_img_0135,22,4,0,4,22,0.0,0.0,0.0
run_20260501_192755_img_0136,9,11,0,11,9,0.0,0.0,0.0
run_20260501_192755_img_0137,5,8,0,8,5,0.0,0.0,0.0
run_20260501_192755_img_0138,33,24,0,24,33,0.0,0.0,0.0
run_20260501_192755_img_0139,19,9,0,9,19,0.0,0.0,0.0
run_20260501_192755_img_0140,14,15,0,15,14,0.0,0.0,0.0
run_20260501_192755_img_0141,17,14,0,14,17,0.0,0.0,0.0
run_20260501_192755_img_0142,9,12,0,12,9,0.0,0.0,0.0
run_20260501_192755_img_0143,8,1,0,1,8,0.0,0.0,0.0
run_20260501_192755_img_0144,15,4,0,4,15,0.0,0.0,0.0
run_20260501_192755_img_0145,34,3,0,3,34,0.0,0.0,0.0
run_20260501_192755_img_0146,22,12,0,12,22,0.0,0.0,0.0
run_20260501_192755_img_0147,4,5,0,5,4,0.0,0.0,0.0
run_20260501_192755_img_0148,10,5,0,5,10,0.0,0.0,0.0
run_20260501_192755_img_0149,9,6,0,6,9,0.0,0.0,0.0
run_20260501_192755_img_0150,13,13,0,13,13,0.0,0.0,0.0
run_20260501_192755_img_0151,31,8,0,8,31,0.0,0.0,0.0
run_20260501_192755_img_0152,40,3,0,3,40,0.0,0.0,0.0
run_20260501_192755_img_0153,98,2,0,2,98,0.0,0.0,0.0
run_20260501_192755_img_0154,52,2,0,2,52,0.0,0.0,0.0
run_20260501_192755_img_0155,12,1,0,1,12,0.0,0.0,0.0
run_20260501_192755_img_0156,11,3,0,3,11,0.0,0.0,0.0
run_20260501_192755_img_0157,15,8,0,8,15,0.0,0.0,0.0
run_20260501_192755_img_0158,19,5,0,5,19,0.0,0.0,0.0
run_20260501_192755_img_0159,21,4,0,4,21,0.0,0.0,0.0
run_20260501_192755_img_0160,23,0,0,0,23,0.0,0.0,0.0
run_20260501_192755_img_0161,18,1,0,1,18,0.0,0.0,0.0
run_20260501_192755_img_0162,18,3,0,3,18,0.0,0.0,0.0
run_20260501_192755_img_0163,13,5,0,5,13,0.0,0.0,0.0
run_20260501_192755_img_0164,15,9,0,9,15,0.0,0.0,0.0
run_20260501_192755_img_0165,2,5,0,5,2,0.0,0.0,0.0
run_20260501_192755_img_0166,3,7,0,7,3,0.0,0.0,0.0
run_20260501_192755_img_0167,22,4,0,4,22,0.0,0.0,0.0
run_20260501_192755_img_0168,18,23,0,23,18,0.0,0.0,0.0
run_20260501_192755_img_0169,14,13,0,13,14,0.0,0.0,0.0
run_20260501_192755_img_0170,11,7,0,7,11,0.0,0.0,0.0
run_20260501_192755_img_0171,20,7,0,7,20,0.0,0.0,0.0
run_20260501_192755_img_0172,30,10,0,10,30,0.0,0.0,0.0
run_20260501_192755_img_0173,24,8,0,8,24,0.0,0.0,0.0
run_20260501_192755_img_0174,27,10,0,10,27,0.0,0.0,0.0
run_20260501_192755_img_0175,5,11,0,11,5,0.0,0.0,0.0
run_20260501_192755_img_0176,19,5,0,5,19,0.0,0.0,0.0
run_20260501_192755_img_0177,13,5,0,5,13,0.0,0.0,0.0
run_20260501_192755_img_0178,38,1,0,1,38,0.0,0.0,0.0
run_20260501_192755_img_0179,38,4,0,4,38,0.0,0.0,0.0
run_20260501_192755_img_0180,27,7,0,7,27,0.0,0.0,0.0
run_20260501_192755_img_0181,29,14,0,14,29,0.0,0.0,0.0
run_20260501_192755_img_0182,40,15,0,15,40,0.0,0.0,0.0
run_20260501_192755_img_0183,27,12,0,12,27,0.0,0.0,0.0
run_20260501_192755_img_0184,18,9,0,9,18,0.0,0.0,0.0
run_20260501_192755_img_0185,54,6,0,6,54,0.0,0.0,0.0
run_20260501_192755_img_0186,85,1,0,1,85,0.0,0.0,0.0
run_20260501_192755_img_0187,64,7,0,7,64,0.0,0.0,0.0
run_20260501_192755_img_0188,12,4,0,4,12,0.0,0.0,0.0
run_20260501_192755_img_0189,108,5,0,5,108,0.0,0.0,0.0
run_20260501_192755_img_0190,112,4,0,4,112,0.0,0.0,0.0
run_20260501_192755_img_0191,140,8,0,8,140,0.0,0.0,0.0
run_20260501_192755_img_0192,146,4,0,4,146,0.0,0.0,0.0
run_20260501_192755_img_0193,43,8,0,8,43,0.0,0.0,0.0
run_20260501_192755_img_0194,56,3,0,3,56,0.0,0.0,0.0
run_20260501_192755_img_0195,29,0,0,0,29,0.0,0.0,0.0
run_20260501_192755_img_0196,44,2,0,2,44,0.0,0.0,0.0
run_20260501_192755_img_0197,40,12,0,12,40,0.0,0.0,0.0
run_20260501_192755_img_0198,13,6,0,6,13,0.0,0.0,0.0
run_20260501_192755_img_0199,6,6,0,6,6,0.0,0.0,0.0
run_20260501_192755_img_0200,40,7,0,7,40,0.0,0.0,0.0
run_20260501_192755_img_0201,22,7,0,7,22,0.0,0.0,0.0
run_20260501_192755_img_0202,27,13,0,13,27,0.0,0.0,0.0
run_20260501_192755_img_0203,29,14,0,14,29,0.0,0.0,0.0
run_20260501_192755_img_0204,176,15,0,15,176,0.0,0.0,0.0
run_20260501_192755_img_0205,89,0,0,0,89,0.0,0.0,0.0
run_20260501_192755_img_0206,82,1,0,1,82,0.0,0.0,0.0
run_20260501_192755_img_0207,117,4,0,4,117,0.0,0.0,0.0
run_20260501_192755_img_0208,135,10,0,10,135,0.0,0.0,0.0
run_20260501_192755_img_0209,224,8,0,8,224,0.0,0.0,0.0
run_20260501_192755_img_0210,184,3,0,3,184,0.0,0.0,0.0
run_20260501_192755_img_0211,68,3,0,3,68,0.0,0.0,0.0
run_20260501_192755_img_0212,86,21,0,21,86,0.0,0.0,0.0
run_20260501_192755_img_0213,82,4,0,4,82,0.0,0.0,0.0
run_20260501_192755_img_0214,94,8,0,8,94,0.0,0.0,0.0
run_20260501_192755_img_0215,376,14,0,14,376,0.0,0.0,0.0
run_20260501_192755_img_0216,286,8,0,8,286,0.0,0.0,0.0
run_20260501_192755_img_0217,272,5,0,5,272,0.0,0.0,0.0
run_20260501_192755_img_0218,217,5,0,5,217,0.0,0.0,0.0
run_20260501_192755_img_0219,285,2,0,2,285,0.0,0.0,0.0
run_20260501_192755_img_0220,200,13,0,13,200,0.0,0.0,0.0
run_20260501_192755_img_0221,35,35,0,35,35,0.0,0.0,0.0
run_20260501_192755_img_0222,19,25,1,24,18,0.04,0.0526,0.0455
run_20260501_192755_img_0223,32,1,0,1,32,0.0,0.0,0.0
run_20260501_192755_img_0224,57,5,0,5,57,0.0,0.0,0.0
run_20260501_192755_img_0225,27,9,0,9,27,0.0,0.0,0.0
run_20260501_192755_img_0226,44,20,0,20,44,0.0,0.0,0.0
run_20260501_192755_img_0227,48,9,0,9,48,0.0,0.0,0.0
run_20260501_192755_img_0228,48,2,0,2,48,0.0,0.0,0.0
run_20260501_192755_img_0229,75,2,0,2,75,0.0,0.0,0.0
run_20260501_192755_img_0230,22,1,0,1,22,0.0,0.0,0.0
run_20260501_192755_img_0231,63,3,0,3,63,0.0,0.0,0.0
run_20260501_192755_img_0232,47,12,0,12,47,0.0,0.0,0.0
