image_id,inference_start,inference_end,latency,queue_wait_ms
run_20260504_193111_img_0001,1777903310.965202,1777903313.4389935,2.4737913608551025,0.0
run_20260504_193111_img_0002,1777903313.4426105,1777903313.4622366,0.019626140594482422,908.18
run_20260504_193111_img_0003,1777903313.6728256,1777903313.6967573,0.02393174171447754,0.522
run_20260504_193111_img_0004,1777903315.0311356,1777903315.0501986,0.01906299591064453,0.0
run_20260504_193111_img_0005,1777903316.192515,1777903316.2104843,0.017969369888305664,0.0
run_20260504_193111_img_0006,1777903317.4062314,1777903317.428907,0.022675514221191406,0.0
run_20260504_193111_img_0007,1777903319.3909867,1777903319.40934,0.01835322380065918,0.69
run_20260504_193111_img_0008,1777903320.2143672,1777903320.2464588,0.032091617584228516,0.0
run_20260504_193111_img_0009,1777903321.012115,1777903321.0443854,0.03227043151855469,0.551
run_20260504_193111_img_0010,1777903321.732691,1777903321.7753654,0.04267430305480957,0.0
run_20260504_193111_img_0011,1777903322.5028293,1777903322.5463052,0.04347586631774902,0.0
run_20260504_193111_img_0012,1777903323.2201257,1777903323.2590406,0.03891491889953613,0.605
run_20260504_193111_img_0013,1777903323.8068442,1777903323.8524654,0.04562115669250488,0.554
run_20260504_193111_img_0014,1777903324.6266046,1777903324.671247,0.04464244842529297,0.0
run_20260504_193111_img_0015,1777903326.675904,1777903326.7210894,0.04518532752990723,0.0
run_20260504_193111_img_0016,1777903327.4084585,1777903327.4529846,0.044526100158691406,0.54
run_20260504_193111_img_0017,1777903328.1261036,1777903328.1693814,0.043277740478515625,0.741
run_20260504_193111_img_0018,1777903328.7527728,1777903328.7964978,0.043725013732910156,0.0
run_20260504_193111_img_0019,1777903331.7413056,1777903331.7794101,0.03810453414916992,0.0
run_20260504_193111_img_0020,1777903333.4545958,1777903333.4988997,0.04430389404296875,0.0
run_20260504_193111_img_0021,1777903334.7380824,1777903334.7801557,0.04207324981689453,0.541
run_20260504_193111_img_0022,1777903336.4526281,1777903336.4993725,0.046744346618652344,0.0
run_20260504_193111_img_0023,1777903339.7695315,1777903339.8154998,0.04596829414367676,0.0
run_20260504_193111_img_0024,1777903341.8908234,1777903341.9374895,0.04666614532470703,0.0
run_20260504_193111_img_0025,1777903343.6811528,1777903343.723496,0.0423431396484375,0.0
run_20260504_193111_img_0026,1777903345.865827,1777903345.8993049,0.033477783203125,0.527
run_20260504_193111_img_0027,1777903347.9443011,1777903347.9911337,0.04683256149291992,0.0
run_20260504_193111_img_0028,1777903351.2226086,1777903351.265461,0.04285240173339844,1.393
run_20260504_193111_img_0029,1777903354.2266488,1777903354.26936,0.04271125793457031,0.721
run_20260504_193111_img_0030,1777903356.9193542,1777903356.9629116,0.04355740547180176,0.538
run_20260504_193111_img_0031,1777903360.0618763,1777903360.1071126,0.04523634910583496,0.558
run_20260504_193111_img_0032,1777903363.1990979,1777903363.2454145,0.04631662368774414,0.0
run_20260504_193111_img_0033,1777903366.694726,1777903366.7392879,0.04456186294555664,0.0
run_20260504_193111_img_0034,1777903368.8789904,1777903368.9232292,0.04423880577087402,0.0
run_20260504_193111_img_0035,1777903371.0067606,1777903371.0491786,0.04241800308227539,0.515
run_20260504_193111_img_0036,1777903373.830851,1777903373.8692274,0.0383763313293457,0.0
run_20260504_193111_img_0037,1777903376.5401905,1777903376.5850732,0.044882774353027344,0.0
run_20260504_193111_img_0038,1777903379.3494816,1777903379.389045,0.03956341743469238,0.0
run_20260504_193111_img_0039,1777903382.802049,1777903382.8489761,0.04692721366882324,0.0
run_20260504_193111_img_0040,1777903386.751411,1777903386.7967832,0.04537224769592285,0.0
run_20260504_193111_img_0041,1777903391.0846622,1777903391.1310337,0.0463714599609375,0.0
run_20260504_193111_img_0042,1777903398.6238575,1777903398.6590047,0.03514719009399414,0.0
run_20260504_193111_img_0043,1777903400.3226898,1777903400.3681371,0.045447349548339844,0.639
run_20260504_193111_img_0044,1777903401.391018,1777903401.432749,0.04173111915588379,0.0
run_20260504_193111_img_0045,1777903402.4587493,1777903402.502976,0.044226646423339844,0.0
run_20260504_193111_img_0046,1777903403.6159446,1777903403.6591434,0.04319882392883301,0.0
run_20260504_193111_img_0047,1777903404.6259105,1777903404.671102,0.04519152641296387,0.0
run_20260504_193111_img_0048,1777903405.6910236,1777903405.728964,0.03794050216674805,0.0
run_20260504_193111_img_0049,1777903406.613446,1777903406.6588721,0.045426130294799805,0.0
run_20260504_193111_img_0050,1777903408.052268,1777903408.0991278,0.0468597412109375,0.0
run_20260504_193111_img_0051,1777903409.0376484,1777903409.078983,0.04133462905883789,0.534
run_20260504_193111_img_0052,1777903410.0023344,1777903410.0438848,0.041550397872924805,0.542
run_20260504_193111_img_0053,1777903411.1326277,1777903411.177094,0.044466257095336914,0.0
run_20260504_193111_img_0054,1777903412.2148957,1777903412.258355,0.043459177017211914,0.0
