image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_171023_img_0001,1,0,0,0,1,0.0,0.0,0.0
run_20260501_171023_img_0002,5,0,0,0,5,0.0,0.0,0.0
run_20260501_171023_img_0003,67,16,15,1,52,0.9375,0.2239,0.3614
run_20260501_171023_img_0004,27,3,2,1,25,0.6667,0.0741,0.1333
run_20260501_171023_img_0005,38,12,8,4,30,0.6667,0.2105,0.32
run_20260501_171023_img_0006,34,10,7,3,27,0.7,0.2059,0.3182
run_20260501_171023_img_0007,37,1,0,1,37,0.0,0.0,0.0
run_20260501_171023_img_0008,27,10,7,3,20,0.7,0.2593,0.3784
run_20260501_171023_img_0009,56,14,12,2,44,0.8571,0.2143,0.3429
run_20260501_171023_img_0010,15,8,8,0,7,1.0,0.5333,0.6957
run_20260501_171023_img_0011,46,8,7,1,39,0.875,0.1522,0.2593
run_20260501_171023_img_0012,10,7,4,3,6,0.5714,0.4,0.4706
run_20260501_171023_img_0013,66,52,37,15,29,0.7115,0.5606,0.6271
run_20260501_171023_img_0014,266,43,29,14,237,0.6744,0.109,0.1877
run_20260501_171023_img_0015,93,29,26,3,67,0.8966,0.2796,0.4262
run_20260501_171023_img_0016,42,14,13,1,29,0.9286,0.3095,0.4643
run_20260501_171023_img_0017,50,24,14,10,36,0.5833,0.28,0.3784
run_20260501_171023_img_0018,42,20,18,2,24,0.9,0.4286,0.5806
run_20260501_171023_img_0019,28,12,12,0,16,1.0,0.4286,0.6
run_20260501_171023_img_0020,55,16,14,2,41,0.875,0.2545,0.3944
run_20260501_171023_img_0021,119,39,34,5,85,0.8718,0.2857,0.4304
run_20260501_171023_img_0022,73,29,23,6,50,0.7931,0.3151,0.451
run_20260501_171023_img_0023,91,28,25,3,66,0.8929,0.2747,0.4202
run_20260501_171023_img_0024,177,36,31,5,146,0.8611,0.1751,0.2911
run_20260501_171023_img_0025,115,38,33,5,82,0.8684,0.287,0.4314
run_20260501_171023_img_0026,163,42,35,7,128,0.8333,0.2147,0.3415
run_20260501_171023_img_0027,262,48,32,16,230,0.6667,0.1221,0.2065
run_20260501_171023_img_0028,64,9,9,0,55,1.0,0.1406,0.2466
run_20260501_171023_img_0029,115,16,13,3,102,0.8125,0.113,0.1985
run_20260501_171023_img_0030,99,23,16,7,83,0.6957,0.1616,0.2623
run_20260501_171023_img_0031,114,22,16,6,98,0.7273,0.1404,0.2353
run_20260501_171023_img_0032,80,14,11,3,69,0.7857,0.1375,0.234
run_20260501_171023_img_0033,90,13,11,2,79,0.8462,0.1222,0.2136
run_20260501_171023_img_0034,104,11,10,1,94,0.9091,0.0962,0.1739
run_20260501_171023_img_0035,66,6,3,3,63,0.5,0.0455,0.0833
run_20260501_171023_img_0036,82,11,8,3,74,0.7273,0.0976,0.172
run_20260501_171023_img_0037,80,20,17,3,63,0.85,0.2125,0.34
run_20260501_171023_img_0038,73,16,10,6,63,0.625,0.137,0.2247
run_20260501_171023_img_0039,107,20,17,3,90,0.85,0.1589,0.2677
run_20260501_171023_img_0040,138,14,10,4,128,0.7143,0.0725,0.1316
run_20260501_171023_img_0041,77,22,15,7,62,0.6818,0.1948,0.303
run_20260501_171023_img_0042,19,11,6,5,13,0.5455,0.3158,0.4
run_20260501_171023_img_0043,86,14,11,3,75,0.7857,0.1279,0.22
run_20260501_171023_img_0044,77,18,16,2,61,0.8889,0.2078,0.3368
run_20260501_171023_img_0045,90,11,8,3,82,0.7273,0.0889,0.1584
run_20260501_171023_img_0046,101,12,9,3,92,0.75,0.0891,0.1593
run_20260501_171023_img_0047,112,17,13,4,99,0.7647,0.1161,0.2016
run_20260501_171023_img_0048,74,9,8,1,66,0.8889,0.1081,0.1928
run_20260501_171023_img_0049,125,14,11,3,114,0.7857,0.088,0.1583
run_20260501_171023_img_0050,109,10,5,5,104,0.5,0.0459,0.084
run_20260501_171023_img_0051,96,11,9,2,87,0.8182,0.0938,0.1682
run_20260501_171023_img_0052,60,27,18,9,42,0.6667,0.3,0.4138
run_20260501_171023_img_0053,64,17,13,4,51,0.7647,0.2031,0.321
run_20260501_171023_img_0054,88,6,4,2,84,0.6667,0.0455,0.0851
run_20260501_171023_img_0055,1,1,1,0,0,1.0,1.0,1.0
run_20260501_171023_img_0056,17,5,2,3,15,0.4,0.1176,0.1818
run_20260501_171023_img_0057,28,4,4,0,24,1.0,0.1429,0.25
run_20260501_171023_img_0058,7,2,2,0,5,1.0,0.2857,0.4444
run_20260501_171023_img_0059,8,0,0,0,8,0.0,0.0,0.0
run_20260501_171023_img_0060,4,2,2,0,2,1.0,0.5,0.6667
run_20260501_171023_img_0061,3,1,1,0,2,1.0,0.3333,0.5
run_20260501_171023_img_0062,33,5,3,2,30,0.6,0.0909,0.1579
run_20260501_171023_img_0063,77,29,25,4,52,0.8621,0.3247,0.4717
run_20260501_171023_img_0064,136,40,38,2,98,0.95,0.2794,0.4318
run_20260501_171023_img_0065,142,25,20,5,122,0.8,0.1408,0.2395
run_20260501_171023_img_0066,118,34,25,9,93,0.7353,0.2119,0.3289
run_20260501_171023_img_0067,74,21,18,3,56,0.8571,0.2432,0.3789
run_20260501_171023_img_0068,30,10,7,3,23,0.7,0.2333,0.35
run_20260501_171023_img_0069,1,1,1,0,0,1.0,1.0,1.0
run_20260501_171023_img_0070,12,5,5,0,7,1.0,0.4167,0.5882
run_20260501_171023_img_0071,13,1,1,0,12,1.0,0.0769,0.1429
run_20260501_171023_img_0072,26,9,2,7,24,0.2222,0.0769,0.1143
run_20260501_171023_img_0073,31,14,9,5,22,0.6429,0.2903,0.4
run_20260501_171023_img_0074,12,6,4,2,8,0.6667,0.3333,0.4444
run_20260501_171023_img_0075,61,19,16,3,45,0.8421,0.2623,0.4
run_20260501_171023_img_0076,12,18,4,14,8,0.2222,0.3333,0.2667
run_20260501_171023_img_0077,21,12,9,3,12,0.75,0.4286,0.5455
run_20260501_171023_img_0078,28,21,11,10,17,0.5238,0.3929,0.449
run_20260501_171023_img_0079,28,10,8,2,20,0.8,0.2857,0.4211
run_20260501_171023_img_0080,25,10,7,3,18,0.7,0.28,0.4
run_20260501_171023_img_0081,14,7,6,1,8,0.8571,0.4286,0.5714
run_20260501_171023_img_0082,52,17,11,6,41,0.6471,0.2115,0.3188
run_20260501_171023_img_0083,64,15,10,5,54,0.6667,0.1562,0.2532
run_20260501_171023_img_0084,45,17,12,5,33,0.7059,0.2667,0.3871
run_20260501_171023_img_0085,20,1,1,0,19,1.0,0.05,0.0952
run_20260501_171023_img_0086,19,0,0,0,19,0.0,0.0,0.0
run_20260501_171023_img_0087,26,1,1,0,25,1.0,0.0385,0.0741
run_20260501_171023_img_0088,24,7,7,0,17,1.0,0.2917,0.4516
run_20260501_171023_img_0089,117,21,19,2,98,0.9048,0.1624,0.2754
run_20260501_171023_img_0090,22,1,1,0,21,1.0,0.0455,0.087
run_20260501_171023_img_0091,10,3,3,0,7,1.0,0.3,0.4615
run_20260501_171023_img_0092,8,2,2,0,6,1.0,0.25,0.4
run_20260501_171023_img_0093,32,16,11,5,21,0.6875,0.3438,0.4583
run_20260501_171023_img_0094,17,7,4,3,13,0.5714,0.2353,0.3333
run_20260501_171023_img_0095,23,10,5,5,18,0.5,0.2174,0.303
run_20260501_171023_img_0096,7,3,2,1,5,0.6667,0.2857,0.4
run_20260501_171023_img_0097,20,7,5,2,15,0.7143,0.25,0.3704
run_20260501_171023_img_0098,13,6,3,3,10,0.5,0.2308,0.3158
run_20260501_171023_img_0099,8,0,0,0,8,0.0,0.0,0.0
run_20260501_171023_img_0100,10,3,2,1,8,0.6667,0.2,0.3077
run_20260501_171023_img_0101,10,7,5,2,5,0.7143,0.5,0.5882
run_20260501_171023_img_0102,17,8,4,4,13,0.5,0.2353,0.32
run_20260501_171023_img_0103,12,4,3,1,9,0.75,0.25,0.375
run_20260501_171023_img_0104,17,5,4,1,13,0.8,0.2353,0.3636
