image_id,preprocess_ms,network_delay_ms,queue_wait_ms,inference_latency_ms,total_latency_ms
20260501_194338_img_0001,408.929,87.8068208694458,0.0,230.9076786041259,727.6434994735716
20260501_194338_img_0002,148.945,31.1909914016723,0.0,109.8477840423584,289.9837754440307
20260501_194338_img_0003,143.836,28.7790298461914,0.0,104.943037033081,277.5580668792724
20260501_194338_img_0004,139.987,33.4252119064331,1.003,108.6516380310058,282.06384993743893
20260501_194338_img_0005,142.783,41.2158966064453,0.938,128.8959980010986,312.89489460754385
20260501_194338_img_0006,147.798,32.0168733596801,0.0,127.01034545898429,306.8252188186644
20260501_194338_img_0007,149.599,46.623706817626896,0.0,121.1695671081543,317.3922739257812
20260501_194338_img_0008,148.796,33.4655046463012,0.0,108.6812019348144,290.9427065811156
20260501_194338_img_0009,146.73,29.7117233276367,0.0,120.8453178405761,297.2870411682128
20260501_194338_img_0010,140.682,28.6972522735595,1.006,118.7782287597656,288.1574810333251
20260501_194338_img_0011,142.561,22.181987762451097,1.0,113.6200428009033,278.3630305633544
20260501_194338_img_0012,133.887,28.279066085815398,1.005,126.3628005981445,288.5288666839599
20260501_194338_img_0013,136.488,26.3388156890869,1.009,126.27339363098139,289.1002093200683
20260501_194338_img_0014,111.314,28.4004211425781,1.007,154.7598838806152,294.4743050231933
20260501_194338_img_0015,111.634,20.5944776535034,0.0,112.2241020202636,244.452579673767
20260501_194338_img_0016,111.361,26.2634754180908,2.0,134.5705986022949,272.1950740203857
20260501_194338_img_0017,111.944,18.1506872177124,0.991,130.5196285247802,260.6143157424926
20260501_194338_img_0018,110.49,24.8216390609741,0.0,148.2791900634765,283.5908291244506
20260501_194338_img_0019,112.416,26.0716676712036,0.0,139.5726203918457,278.0602880630493
20260501_194338_img_0020,112.139,19.1682577133178,1.506,130.911111831665,262.2183695449828
20260501_194338_img_0021,111.316,21.920442581176697,1.012,145.6701755523681,278.90661813354484
20260501_194338_img_0022,113.292,21.537303924560497,0.0,128.577709197998,263.4070131225585
20260501_194338_img_0023,112.137,23.938775062561,0.0,129.9622058868408,266.0379809494018
20260501_194338_img_0024,111.985,28.126597404479902,0.999,129.7156810760498,269.8272784805297
20260501_194338_img_0025,113.072,22.8593349456787,0.943,136.368989944458,272.3003248901367
20260501_194338_img_0026,112.239,21.4163064956665,0.0,147.0170021057129,280.6723086013794
20260501_194338_img_0027,114.743,25.8879661560058,0.0,144.1175937652588,284.7485599212646
20260501_194338_img_0028,211.196,38.323879241943295,1.02,135.0569725036621,384.5768517456054
20260501_194338_img_0029,174.664,33.8581800460815,0.0,123.7275600433349,332.2497400894164
20260501_194338_img_0030,193.362,51.4513254165649,1.018,146.8732357025146,391.68656111907944
20260501_194338_img_0031,194.048,34.6544981002807,0.958,140.6569480895996,369.3594461898803
20260501_194338_img_0032,194.479,40.2096509933471,1.515,135.6725692749023,370.36122026824944
20260501_194338_img_0033,194.452,40.2325391769409,0.0,131.0853958129882,365.7699349899291
20260501_194338_img_0034,188.993,37.937998771667395,0.0,112.7192974090576,339.650296180725
20260501_194338_img_0035,191.537,36.9980335235595,0.993,128.0372142791748,356.5722478027343
20260501_194338_img_0036,191.334,35.9950065612793,1.01,131.6421031951904,358.9711097564697
20260501_194338_img_0037,195.533,37.7137660980224,1.007,142.3051357269287,375.5519018249511
20260501_194338_img_0038,194.935,36.9257926940918,0.0,133.882999420166,365.74379211425776
20260501_194338_img_0039,196.0,37.992596626281696,0.961,130.1352977752685,364.1278944015502
20260501_194338_img_0040,199.823,30.717730522155698,0.0,137.9454135894775,368.4861441116332
20260501_194338_img_0041,196.725,46.046495437622,1.007,153.8295745849609,396.6010700225829
20260501_194338_img_0042,185.044,34.409761428833,1.006,128.8766860961914,348.3304475250244
20260501_194338_img_0043,194.7,43.652057647705,1.379,164.2639636993408,402.6160213470458
20260501_194338_img_0044,188.747,36.5177392959594,0.943,123.2860088348388,348.5507481307982
20260501_194338_img_0045,189.995,29.736876487731898,0.95,143.9504623413086,363.68233882904053
20260501_194338_img_0046,195.31,35.5887413024902,0.966,118.5507774353027,349.4495187377929
20260501_194338_img_0047,195.249,34.9022150039672,1.006,136.9554996490478,367.106714653015
20260501_194338_img_0048,191.897,35.683274269104,0.0,126.8649101257324,354.44518439483636
20260501_194338_img_0049,190.67,36.0703468322753,0.0,139.26362991333,366.0039767456053
20260501_194338_img_0050,191.53,26.855587959289497,0.0,135.73336601257319,354.11895397186265
20260501_194338_img_0051,197.582,37.181615829467695,1.009,137.28547096252439,372.04908679199207
20260501_194338_img_0052,192.287,36.259531974792395,1.006,127.8960704803466,356.44260245513897
20260501_194338_img_0053,194.797,31.9724082946777,0.0,133.8269710540771,360.5963793487548
20260501_194338_img_0054,195.726,33.8798761367797,0.0,135.7107162475586,365.31659238433826
20260501_194338_img_0055,137.623,27.639985084533603,1.258,138.3154392242431,303.5784243087767
20260501_194338_img_0056,121.554,27.5297164916992,0.0,134.5992088317871,283.6829253234863
20260501_194338_img_0057,125.423,27.1345376968383,0.0,138.8559341430664,291.4134718399047
20260501_194338_img_0058,121.719,30.6957960128784,1.47,134.6437931060791,287.05858911895746
20260501_194338_img_0059,125.226,27.1095037460327,0.997,134.6931457519531,287.0286494979858
20260501_194338_img_0060,119.201,22.774934768676697,2.036,146.1622714996338,288.13820626831046
20260501_194338_img_0061,122.13,21.373271942138597,0.0,130.9263706207275,274.4296425628661
20260501_194338_img_0062,98.897,23.380994796752898,0.0,143.5770988464355,265.8550936431884
20260501_194338_img_0063,96.397,26.0641574859619,0.0,112.8103733062744,235.27153079223632
20260501_194338_img_0064,94.937,19.9606418609619,0.0,144.2732810974121,259.17092295837404
20260501_194338_img_0065,97.095,23.894906044006298,0.0,127.6948451995849,248.6847512435912
20260501_194338_img_0066,97.645,28.6492109298706,1.514,147.0298767089843,273.3240876388549
20260501_194338_img_0067,97.79,22.1496820449829,1.004,129.3585300445556,249.29821208953854
20260501_194338_img_0068,114.928,23.0228900909423,1.036,134.8798274993896,272.8307175903319
20260501_194338_img_0069,116.821,24.713277816772397,0.0,156.8610668182373,298.3953446350097
20260501_194338_img_0070,117.318,21.508932113647397,0.0,121.7546463012695,260.5815784149169
20260501_194338_img_0071,119.948,25.482773780822697,0.0,127.77376174926749,273.2045355300902
20260501_194338_img_0072,118.825,26.1138677597045,0.982,129.8351287841797,274.7739965438842
20260501_194338_img_0073,116.666,26.5756845474243,0.0,138.9398574829101,282.1815420303344
20260501_194338_img_0074,117.277,27.5590419769287,1.002,136.9516849517822,281.7877269287109
20260501_194338_img_0075,115.454,20.7152366638183,0.0,128.05390357971189,264.22314024353017
20260501_194338_img_0076,113.607,19.1940069198608,0.999,147.3944187164306,280.1954256362914
20260501_194338_img_0077,113.381,21.4868783950805,0.0,127.2480487823486,262.1159271774291
20260501_194338_img_0078,114.166,26.4179706573486,0.0,141.747236251831,282.3312069091796
20260501_194338_img_0079,115.123,19.0751552581787,0.0,139.09029960632319,273.2884548645019
20260501_194338_img_0080,112.804,18.7387466430664,0.0,124.6137619018554,256.1565085449218
20260501_194338_img_0081,121.462,24.626612663269,0.995,121.5689182281494,267.6575308914184
20260501_194338_img_0082,189.906,49.2572784423828,0.956,163.1183624267578,402.28164086914063
20260501_194338_img_0083,209.729,53.4906387329101,1.005,146.9810009002685,410.20063963317864
20260501_194338_img_0084,198.713,41.0271883010864,0.0,137.8040313720703,377.5442196731567
20260501_194338_img_0085,210.45,53.1164407730102,0.947,149.1780281066894,412.7444688796996
20260501_194338_img_0086,214.882,51.7425537109375,0.0,149.8205661773681,416.4451198883056
20260501_194338_img_0087,209.712,47.1454858779907,0.0,125.26488304138181,382.1223689193725
20260501_194338_img_0088,206.511,39.8229360580444,1.0,141.0889625549316,387.42289861297604
20260501_194338_img_0089,120.851,29.8699140548706,0.0,132.5798034667968,283.30071752166737
20260501_194338_img_0090,99.985,26.9291400909423,0.0,135.6534957885742,262.5676358795165
20260501_194338_img_0091,101.171,25.6009101867675,0.0,144.1891193389892,270.9610295257567
20260501_194338_img_0092,101.739,26.8632173538208,1.005,130.6591033935547,259.2613207473755
20260501_194338_img_0093,98.006,24.293780326843198,0.0,133.1441402435302,255.4439205703734
20260501_194338_img_0094,98.344,29.6781063079834,0.996,127.7773380279541,255.7994443359375
20260501_194338_img_0095,99.194,27.623176574707,1.069,116.9931888580322,243.81036543273922
20260501_194338_img_0096,98.574,26.1315107345581,0.0,133.5828304290771,258.2883411636352
20260501_194338_img_0097,98.579,30.491232872009203,0.0,147.3333835601806,276.4036164321898
20260501_194338_img_0098,100.695,26.2504816055297,0.0,124.1312026977539,251.0766843032836
20260501_194338_img_0099,101.388,31.073212623596103,0.0,142.8070068359375,275.2682194595336
20260501_194338_img_0100,120.852,21.578311920165998,1.003,146.0187435150146,288.4490554351806
20260501_194338_img_0101,118.489,26.5960693359375,0.0,128.8356781005859,273.9207474365234
20260501_194338_img_0102,114.305,25.7704257965087,1.001,133.8655948638916,273.94102066040034
20260501_194338_img_0103,119.147,25.624155998229902,1.005,149.0767002105713,293.8478562088012
20260501_194338_img_0104,114.386,20.9064483642578,0.0,111.9580268859863,247.25047525024408
20260501_194338_img_0105,125.578,38.9323234558105,1.002,125.0457763671875,289.556099822998
20260501_194338_img_0106,124.893,27.528643608093198,0.0,140.5918598175048,293.013503425598
20260501_194338_img_0107,124.58,28.4198522567749,0.0,145.4451084136963,298.4449606704712
20260501_194338_img_0108,129.197,29.782652854919398,0.0,118.8561916351318,277.83584449005116
20260501_194338_img_0109,128.405,31.1414003372192,0.0,138.5395526885986,298.08595302581784
20260501_194338_img_0110,131.077,28.204917907714798,0.0,111.7260456085205,271.0079635162353
20260501_194338_img_0111,131.863,42.7862405776977,0.0,135.9996795654297,310.6489201431274
20260501_194338_img_0112,129.034,30.510663986205998,0.0,111.5491390228271,271.0938030090331
20260501_194338_img_0113,116.09,24.4494676589965,0.0,116.9066429138183,257.4461105728148
20260501_194338_img_0114,124.828,33.0492258071899,1.001,139.3070220947265,297.18424790191636
20260501_194338_img_0115,123.514,29.9737453460693,0.0,135.9045505523681,289.3922958984374
20260501_194338_img_0116,124.027,25.7192850112915,0.0,131.8051815032959,281.5514665145874
20260501_194338_img_0117,123.452,25.359392166137603,0.0,140.07568359375,288.8870757598876
20260501_194338_img_0118,122.997,31.3198566436767,0.0,144.1612243652343,298.478081008911
20260501_194338_img_0119,124.241,32.5243473052978,0.0,123.1360435485839,279.9013908538817
20260501_194338_img_0120,125.718,39.2317771911621,0.0,132.8418254852295,297.7916026763916
20260501_194338_img_0121,126.375,29.972910881042402,0.0,126.1827945709228,282.5307054519652
20260501_194338_img_0122,121.09,29.165506362915,0.0,114.215612411499,264.471118774414
20260501_194338_img_0123,120.951,24.8187780380249,0.0,119.9266910552978,265.69646909332266
20260501_194338_img_0124,121.535,24.9693393707275,0.0,122.6904392242431,269.19477859497056
20260501_194338_img_0125,123.84,29.2665958404541,0.942,125.6074905395507,278.7140863800048
20260501_194338_img_0126,127.871,34.502625465392995,0.0,124.7177124023437,287.0913378677367
20260501_194338_img_0127,126.15,27.4096727371215,0.0,133.9137554168701,287.47342815399156
20260501_194338_img_0128,123.991,29.3723344802856,0.0,123.0616569519043,276.42499143218987
20260501_194338_img_0129,125.723,32.3085784912109,0.0,145.9362506866455,303.9678291778564
20260501_194338_img_0130,130.584,30.335783958434998,0.0,126.89876556396479,287.8185495223998
20260501_194338_img_0131,130.629,26.160240173339798,0.0,144.8245048522949,301.61374502563467
20260501_194338_img_0132,133.803,31.8005084991455,0.0,120.3951835632324,285.9986920623779
20260501_194338_img_0133,131.207,41.6171550750732,0.0,134.5841884613037,307.4083435363769
20260501_194338_img_0134,132.309,31.396746635436998,0.0,120.5420494079589,284.24779604339585
20260501_194338_img_0135,123.27,24.0399837493896,0.0,136.1637115478515,283.4736952972411
20260501_194338_img_0136,119.052,28.912901878356898,0.0,134.8767280578613,282.8416299362182
20260501_194338_img_0137,121.138,28.192996978759698,0.0,115.3004169464111,264.6314139251708
20260501_194338_img_0138,123.137,28.6232233047485,0.0,136.9996070861816,288.7598303909301
20260501_194338_img_0139,125.684,36.3020896911621,0.986,135.1709365844726,297.15702627563473
20260501_194338_img_0140,123.52,26.556372642517,0.0,135.8168125152588,285.8931851577758
20260501_194338_img_0141,116.307,31.0688018798828,1.002,131.1688423156738,278.5446441955566
20260501_194338_img_0142,116.659,18.314242362976,0.0,150.2020359039306,285.1752782669066
20260501_194338_img_0143,117.793,20.5743312835693,0.0,128.7069320678711,267.07426335144044
20260501_194338_img_0144,120.377,27.333378791809,0.0,147.5753784179687,295.28575720977767
20260501_194338_img_0145,120.399,22.7824449539184,0.0,122.9307651519775,266.1122101058959
20260501_194338_img_0146,116.357,19.9406147003173,0.0,131.6871643066406,267.98477900695787
20260501_194338_img_0147,114.795,28.4836292266845,0.0,132.13658332824699,275.4152125549315
20260501_194338_img_0148,118.218,22.64404296875,1.999,152.3597240447998,293.2217670135498
