image_id,preprocess_ms,inference_latency_ms,total_latency_ms
run_20260501_171023_img_0114,148.534,1815.481,1964.015
run_20260501_171023_img_0115,148.14,1817.44,1965.58
run_20260501_171023_img_0116,147.105,1831.911,1979.015
run_20260501_171023_img_0117,142.548,1879.856,2022.404
run_20260501_171023_img_0118,147.534,1823.097,1970.631
run_20260501_171023_img_0119,145.751,1817.709,1963.46
run_20260501_171023_img_0120,144.081,1818.606,1962.687
run_20260501_171023_img_0121,143.502,1828.421,1971.922
run_20260501_171023_img_0122,143.54,1824.404,1967.944
run_20260501_171023_img_0123,144.477,1819.115,1963.592
run_20260501_171023_img_0124,148.032,1822.487,1970.519
run_20260501_171023_img_0125,147.868,1817.486,1965.354
run_20260501_171023_img_0126,145.854,1825.525,1971.379
run_20260501_171023_img_0127,143.407,1817.55,1960.957
run_20260501_171023_img_0128,142.084,1825.614,1967.698
run_20260501_171023_img_0129,144.236,1820.389,1964.625
run_20260501_171023_img_0130,148.48,1825.369,1973.849
run_20260501_171023_img_0131,145.643,1822.671,1968.313
run_20260501_171023_img_0132,148.126,1825.644,1973.771
run_20260501_171023_img_0133,146.639,1816.204,1962.842
run_20260501_171023_img_0134,145.94,1835.689,1981.629
run_20260501_171023_img_0135,141.925,1818.229,1960.154
run_20260501_171023_img_0136,141.434,1831.315,1972.749
run_20260501_171023_img_0137,144.616,1816.727,1961.343
run_20260501_171023_img_0138,145.848,1822.835,1968.683
run_20260501_171023_img_0139,142.316,1819.403,1961.72
run_20260501_171023_img_0140,141.865,1861.304,2003.169
run_20260501_171023_img_0141,141.124,1817.806,1958.93
run_20260501_171023_img_0142,143.263,1824.242,1967.505
run_20260501_171023_img_0143,142.517,1817.441,1959.958
run_20260501_171023_img_0144,146.087,1832.245,1978.332
run_20260501_171023_img_0145,144.372,1812.349,1956.721
run_20260501_171023_img_0146,139.679,1829.028,1968.707
run_20260501_171023_img_0147,143.204,1815.343,1958.547
run_20260501_171023_img_0148,149.758,1848.699,1998.457
run_20260501_171023_img_0149,150.318,1826.202,1976.52
run_20260501_171023_img_0150,143.742,1829.03,1972.772
run_20260501_171023_img_0151,145.322,1814.067,1959.389
run_20260501_171023_img_0152,139.751,1830.499,1970.25
run_20260501_171023_img_0153,145.403,1814.739,1960.142
run_20260501_171023_img_0154,142.209,1828.402,1970.611
run_20260501_171023_img_0155,137.814,1815.997,1953.811
run_20260501_171023_img_0156,154.138,1825.349,1979.487
run_20260501_171023_img_0157,152.979,1816.538,1969.518
run_20260501_171023_img_0158,142.179,1828.959,1971.138
run_20260501_171023_img_0159,143.687,1820.571,1964.258
run_20260501_171023_img_0160,143.042,1821.78,1964.822
run_20260501_171023_img_0161,144.817,1812.272,1957.089
run_20260501_171023_img_0162,145.037,1825.471,1970.508
run_20260501_171023_img_0163,144.667,1811.846,1956.513
run_20260501_171023_img_0164,142.832,1826.975,1969.807
run_20260501_171023_img_0165,151.204,1814.653,1965.858
run_20260501_171023_img_0166,146.623,1821.327,1967.95
run_20260501_171023_img_0167,146.482,1819.077,1965.559
run_20260501_171023_img_0168,144.094,1821.516,1965.61
run_20260501_171023_img_0169,144.204,1818.217,1962.421
run_20260501_171023_img_0170,144.031,1822.858,1966.889
run_20260501_171023_img_0171,152.127,1812.91,1965.037
run_20260501_171023_img_0172,143.523,1825.342,1968.865
run_20260501_171023_img_0173,140.321,1815.205,1955.526
run_20260501_171023_img_0174,142.1,1822.936,1965.036
run_20260501_171023_img_0175,142.216,1815.309,1957.525
run_20260501_171023_img_0176,146.359,1740.1,1886.458
run_20260501_171023_img_0177,143.444,1822.141,1965.586
run_20260501_171023_img_0178,129.674,1824.952,1954.626
run_20260501_171023_img_0179,135.884,1818.197,1954.081
run_20260501_171023_img_0180,133.279,1829.486,1962.766
run_20260501_171023_img_0181,126.375,1810.461,1936.836
run_20260501_171023_img_0182,148.3,1830.184,1978.484
run_20260501_171023_img_0183,147.293,1813.959,1961.252
run_20260501_171023_img_0184,148.21,1822.784,1970.994
run_20260501_171023_img_0185,148.945,1824.16,1973.105
run_20260501_171023_img_0186,148.31,1824.13,1972.44
run_20260501_171023_img_0187,148.095,1814.176,1962.272
run_20260501_171023_img_0188,159.619,1827.834,1987.453
run_20260501_171023_img_0189,148.179,1818.606,1966.785
run_20260501_171023_img_0190,149.35,1838.853,1988.203
run_20260501_171023_img_0191,152.716,1827.909,1980.625
run_20260501_171023_img_0192,153.9,1823.363,1977.263
run_20260501_171023_img_0193,151.928,1822.708,1974.636
run_20260501_171023_img_0194,148.569,1827.981,1976.55
run_20260501_171023_img_0195,147.289,1817.726,1965.014
run_20260501_171023_img_0196,149.648,1823.609,1973.258
run_20260501_171023_img_0197,148.664,1815.327,1963.991
run_20260501_171023_img_0198,149.116,1826.148,1975.263
run_20260501_171023_img_0199,146.692,1811.703,1958.395
run_20260501_171023_img_0200,148.131,1880.133,2028.265
run_20260501_171023_img_0201,148.792,1813.693,1962.484
run_20260501_171023_img_0202,146.455,1833.73,1980.185
run_20260501_171023_img_0203,146.94,1824.342,1971.282
run_20260501_171023_img_0204,151.905,1825.586,1977.491
run_20260501_171023_img_0205,151.35,1818.273,1969.623
run_20260501_171023_img_0206,149.045,1828.966,1978.011
run_20260501_171023_img_0207,147.416,1815.629,1963.045
run_20260501_171023_img_0208,149.77,1829.661,1979.431
run_20260501_171023_img_0209,152.255,1819.987,1972.243
run_20260501_171023_img_0210,150.868,1826.278,1977.146
run_20260501_171023_img_0211,148.588,1812.263,1960.851
run_20260501_171023_img_0212,146.436,1825.006,1971.442
run_20260501_171023_img_0213,147.213,1822.685,1969.899
run_20260501_171023_img_0214,147.137,1821.306,1968.442
