image_id,preprocess_ms,network_delay_ms,inference_latency_ms,total_latency_ms
20260501_195720_img_0001,405.12,97.4639654159545,173.680305480957,676.2642708969115
20260501_195720_img_0002,145.527,49.7773885726928,88.7031555175781,284.00754409027087
20260501_195720_img_0003,143.341,37.7730131149292,95.8514213562011,276.9654344711303
20260501_195720_img_0004,135.463,24.5710611343383,93.2381153106689,253.2721764450072
20260501_195720_img_0005,141.673,31.8180322647094,101.776123046875,275.2671553115844
20260501_195720_img_0006,143.367,26.310682296752898,86.6329669952392,256.3106492919921
20260501_195720_img_0007,145.077,35.1687669754028,94.0048694610595,274.2506364364623
20260501_195720_img_0008,145.737,35.2027416229248,113.006591796875,293.94633341979977
20260501_195720_img_0009,144.46,21.944522857666,91.7510986328125,258.1556214904785
20260501_195720_img_0010,140.15,36.183357238769496,107.00869560241688,283.3420528411864
20260501_195720_img_0011,141.612,34.5442295074462,111.1085414886474,287.2647709960936
20260501_195720_img_0012,134.086,28.6277532577514,90.7213687896728,253.43512204742424
20260501_195720_img_0013,133.782,18.5760259628295,102.637767791748,254.9957937545775
20260501_195720_img_0014,111.386,28.9602279663085,103.2626628875732,243.6088908538817
20260501_195720_img_0015,113.518,20.5087661743164,94.999074935913,229.0258411102294
20260501_195720_img_0016,111.707,20.7653045654296,97.6130962371826,230.08540080261216
20260501_195720_img_0017,110.989,18.415093421936,108.4535121917724,237.8576056137084
20260501_195720_img_0018,110.307,20.0881958007812,99.9960899353027,230.3912857360839
20260501_195720_img_0019,112.202,19.18625831604,94.5022106170654,225.8904689331054
20260501_195720_img_0020,112.498,27.7830362319946,105.4000854492187,245.6811216812133
20260501_195720_img_0021,111.194,19.8031663894653,102.3130416870117,233.310208076477
20260501_195720_img_0022,112.789,26.410460472106895,93.5337543487548,232.7332148208617
20260501_195720_img_0023,111.872,23.0860710144042,94.6099758148193,229.56804682922348
20260501_195720_img_0024,112.279,16.963243484497,92.3097133636474,221.5519568481444
20260501_195720_img_0025,113.428,36.2976789474487,98.0794429779052,247.8051219253539
20260501_195720_img_0026,112.235,18.9429521560668,91.9842720031738,223.16222415924065
20260501_195720_img_0027,114.899,33.0218076705932,120.0692653656005,267.99007303619373
20260501_195720_img_0028,211.284,37.7538204193115,96.2004661560058,345.23828657531726
20260501_195720_img_0029,173.601,32.7693223953247,104.8612594604492,311.2315818557739
20260501_195720_img_0030,193.015,32.8606367111206,95.7062244415283,321.5818611526489
20260501_195720_img_0031,193.792,44.0478324890136,96.8139171600341,334.65374964904765
20260501_195720_img_0032,194.029,38.4889841079711,101.651906967163,334.1698910751341
20260501_195720_img_0033,194.429,37.5109910964965,108.1554889678955,340.09548006439195
20260501_195720_img_0034,188.645,32.8269004821777,98.7064838409423,320.17838432312
20260501_195720_img_0035,193.388,40.4595136642456,101.8104553222656,335.6579689865112
20260501_195720_img_0036,193.2,42.6132678985595,99.5204448699951,335.3337127685546
20260501_195720_img_0037,200.172,44.7309017181396,104.4590473175048,349.3619490356444
20260501_195720_img_0038,202.939,44.03817653656,90.6887054443359,337.66588198089585
20260501_195720_img_0039,194.783,38.5705232620239,93.3706760406494,326.72419930267324
20260501_195720_img_0040,194.273,42.9620742797851,95.6518650054931,332.88693928527823
20260501_195720_img_0041,197.393,50.896406173706,109.6110343933105,357.9004405670165
20260501_195720_img_0042,185.733,43.087363243103,110.7981204986572,339.6184837417602
20260501_195720_img_0043,195.361,49.811482429504295,117.1154975891113,362.2879800186156
20260501_195720_img_0044,189.768,33.4203243255615,81.104040145874,304.29236447143546
20260501_195720_img_0045,190.788,34.103512763977,102.71883010864248,327.6103428726195
20260501_195720_img_0046,194.513,41.4718389511108,113.4207248687744,349.4055638198852
20260501_195720_img_0047,195.134,36.5357398986816,109.4381809234619,341.10792082214346
20260501_195720_img_0048,195.003,27.4125337600708,90.7459259033203,313.1614596633911
20260501_195720_img_0049,194.874,37.1749401092529,121.65474891662588,353.7036890258788
20260501_195720_img_0050,192.795,31.5891504287719,122.3480701446533,346.7322205734252
20260501_195720_img_0051,195.542,29.959201812744094,101.8557548522949,327.356956665039
20260501_195720_img_0052,190.879,40.0582551956176,109.7791194915771,340.7163746871948
20260501_195720_img_0053,192.485,34.3825817108154,101.902961730957,328.7705434417724
20260501_195720_img_0054,193.332,38.476467132568295,93.3151245117187,325.123591644287
20260501_195720_img_0055,132.585,20.838856697082495,90.5606746673584,243.9845313644409
20260501_195720_img_0056,120.939,27.0092487335205,119.1701889038086,267.11843763732907
20260501_195720_img_0057,123.297,38.144111633300696,109.0896129608154,270.5307245941161
20260501_195720_img_0058,123.859,27.5808572769165,110.0745201110839,261.5143773880004
20260501_195720_img_0059,123.172,26.7683267593383,95.3025817871093,245.2429085464476
20260501_195720_img_0060,117.228,28.5829305648803,95.9470272064209,241.7579577713012
20260501_195720_img_0061,121.913,24.479627609252898,96.5616703033447,242.9542979125976
20260501_195720_img_0062,97.671,22.669315338134695,92.6947593688964,213.0350747070311
20260501_195720_img_0063,95.584,26.0231494903564,102.4343967437744,224.0415462341308
20260501_195720_img_0064,95.332,21.2600231170654,93.6331748962402,210.2251980133056
20260501_195720_img_0065,96.586,22.7895975112915,90.0125503540039,209.38814786529545
20260501_195720_img_0066,96.266,19.7263956069946,100.3699302673339,216.3623258743285
20260501_195720_img_0067,95.817,20.4936265945434,107.2738170623779,223.58444365692128
20260501_195720_img_0068,115.906,18.7318325042724,95.9572792053222,230.5951117095946
20260501_195720_img_0069,116.157,24.714589118957495,109.0309619903564,249.9025511093139
20260501_195720_img_0070,116.456,31.182050704956,96.1828231811523,243.8208738861083
20260501_195720_img_0071,119.209,29.6635627746582,92.4580097198486,241.3305724945068
20260501_195720_img_0072,117.446,44.1330671310424,102.69021987915028,264.26928701019267
20260501_195720_img_0073,114.867,35.32075881958,115.5509948730468,265.7387536926268
20260501_195720_img_0074,116.325,24.5743989944458,96.6556072235107,237.5550062179565
20260501_195720_img_0075,118.137,19.0485715866088,92.8483009338378,230.0338725204466
20260501_195720_img_0076,113.959,38.1141901016235,89.4720554351806,241.5452455368041
