image_id,preprocess_ms,network_delay_ms,inference_latency_ms,total_latency_ms
20260504_193111_img_0001,404.807,877.921462059021,2473.7913608551025,3756.5198229141233
20260504_193111_img_0002,147.915,706.3019275665283,19.6261405944824,873.8430681610107
20260504_193111_img_0003,142.705,495.1373338699341,23.9317417144775,661.7740755844117
20260504_193111_img_0004,134.029,611.9157075881958,19.0629959106445,765.0077034988403
20260504_193111_img_0005,143.747,504.8803091049194,17.9693698883056,666.5966789932249
20260504_193111_img_0006,141.355,535.5657339096069,22.6755142211914,699.5962481307984
20260504_193111_img_0007,144.987,914.759874343872,18.3532238006591,1078.100098144531
20260504_193111_img_0008,144.134,340.2371406555176,32.0916175842285,516.4627582397461
20260504_193111_img_0009,144.588,325.4032135009765,32.270431518554595,502.2616450195311
20260504_193111_img_0010,143.286,285.4800224304199,42.6743030548095,471.44032548522944
20260504_193111_img_0011,140.731,313.6807680130005,43.475866317749,497.8876343307495
20260504_193111_img_0012,137.38,291.7309999465942,38.9149188995361,468.0259188461303
20260504_193111_img_0013,133.46,250.8480548858642,45.6211566925048,429.92921157836906
20260504_193111_img_0014,110.509,348.0818271636963,44.6424484252929,503.2332755889892
20260504_193111_img_0015,112.037,937.7120733261108,45.1853275299072,1094.934400856018
20260504_193111_img_0016,112.683,308.2680702209472,44.5261001586914,465.4771703796386
20260504_193111_img_0017,110.944,301.5556335449219,43.2777404785156,455.7773740234375
20260504_193111_img_0018,110.296,261.8193626403808,43.7250137329101,415.8403763732909
20260504_193111_img_0019,111.7,1460.0751399993896,38.1045341491699,1609.8796741485596
20260504_193111_img_0020,113.153,804.9627542495728,44.3038940429687,962.4196482925416
20260504_193111_img_0021,112.739,548.4186410903931,42.073249816894496,703.2308909072876
20260504_193111_img_0022,113.644,896.9634771347046,46.7443466186523,1057.351823753357
20260504_193111_img_0023,111.308,1504.528522491455,45.9682941436767,1661.8048166351318
20260504_193111_img_0024,114.103,1005.228877067566,46.666145324707,1165.998022392273
20260504_193111_img_0025,112.265,831.2653303146362,42.3431396484375,985.8734699630736
20260504_193111_img_0026,111.684,1036.6027355194092,33.477783203125,1181.764518722534
20260504_193111_img_0027,114.997,979.7080755233764,46.8325614929199,1141.5376370162962
20260504_193111_img_0028,210.796,1566.1118030548096,42.8524017333984,1819.760204788208
20260504_193111_img_0029,175.225,1374.1722106933594,42.7112579345703,1592.1084686279296
20260504_193111_img_0030,199.477,1267.511248588562,43.5574054718017,1510.545654060364
20260504_193111_img_0031,194.148,1443.384885787964,45.2363491058349,1682.769234893799
20260504_193111_img_0032,194.22,1465.6723737716677,46.3166236877441,1706.208997459412
20260504_193111_img_0033,196.827,1643.675684928894,44.5618629455566,1885.064547874451
20260504_193111_img_0034,189.679,992.5312995910645,44.238805770874,1226.4491053619386
20260504_193111_img_0035,194.664,959.6320390701294,42.4180030822753,1196.7140421524043
20260504_193111_img_0036,190.686,1581.504225730896,38.3763313293457,1810.5665570602416
20260504_193111_img_0037,196.538,985.4466915130616,44.8827743530273,1226.8674658660889
20260504_193111_img_0038,194.914,1299.8851537704468,39.5634174346923,1534.3625712051391
20260504_193111_img_0039,196.266,1629.6042203903198,46.9272136688232,1872.7974340591431
20260504_193111_img_0040,194.562,1866.3029670715327,45.3722476959228,2106.2372147674555
20260504_193111_img_0041,198.746,2061.429977416992,46.3714599609375,2306.54743737793
20260504_193111_img_0042,186.329,3666.589379310608,35.1471900939941,3888.065569404602
20260504_193111_img_0043,196.634,745.5345392227173,45.4473495483398,987.6158887710571
20260504_193111_img_0044,193.101,435.173749923706,41.7311191558837,670.0058690795897
20260504_193111_img_0045,192.334,428.5290241241455,44.2266464233398,665.0896705474853
20260504_193111_img_0046,197.4,484.6181869506836,43.198823928833,725.2170108795166
20260504_193111_img_0047,195.223,393.3433294296264,45.1915264129638,633.7578558425903
20260504_193111_img_0048,191.708,431.7400455474853,37.940502166748,661.3885477142333
20260504_193111_img_0049,191.808,360.4466915130615,45.4261302947998,597.6808218078613
20260504_193111_img_0050,188.747,620.042085647583,46.8597412109375,855.6488268585206
20260504_193111_img_0051,193.175,390.5495405197143,41.3346290588378,625.0591695785521
20260504_193111_img_0052,191.398,432.9402446746826,41.5503978729248,665.8886425476074
20260504_193111_img_0053,192.171,445.4637765884399,44.4662570953369,682.1010336837768
20260504_193111_img_0054,193.606,409.0032577514648,43.4591770172119,646.0684347686768
