image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_183332_img_0001,1,1,0,1,1,0.0,0.0,0.0
run_20260501_183332_img_0002,5,0,0,0,5,0.0,0.0,0.0
run_20260501_183332_img_0003,67,21,18,3,49,0.8571,0.2687,0.4091
run_20260501_183332_img_0004,27,9,7,2,20,0.7778,0.2593,0.3889
run_20260501_183332_img_0005,38,24,14,10,24,0.5833,0.3684,0.4516
run_20260501_183332_img_0006,34,16,8,8,26,0.5,0.2353,0.32
run_20260501_183332_img_0007,37,2,1,1,36,0.5,0.027,0.0513
run_20260501_183332_img_0008,27,18,11,7,16,0.6111,0.4074,0.4889
run_20260501_183332_img_0009,56,22,17,5,39,0.7727,0.3036,0.4359
run_20260501_183332_img_0010,15,10,9,1,6,0.9,0.6,0.72
run_20260501_183332_img_0011,46,15,11,4,35,0.7333,0.2391,0.3607
run_20260501_183332_img_0012,10,8,4,4,6,0.5,0.4,0.4444
run_20260501_183332_img_0013,66,79,46,33,20,0.5823,0.697,0.6345
run_20260501_183332_img_0014,266,72,42,30,224,0.5833,0.1579,0.2485
run_20260501_183332_img_0015,93,44,37,7,56,0.8409,0.3978,0.5401
run_20260501_183332_img_0016,42,22,20,2,22,0.9091,0.4762,0.625
run_20260501_183332_img_0017,50,36,20,16,30,0.5556,0.4,0.4651
run_20260501_183332_img_0018,42,30,25,5,17,0.8333,0.5952,0.6944
run_20260501_183332_img_0019,28,21,20,1,8,0.9524,0.7143,0.8163
run_20260501_183332_img_0020,55,27,23,4,32,0.8519,0.4182,0.561
run_20260501_183332_img_0021,119,56,49,7,70,0.875,0.4118,0.56
run_20260501_183332_img_0022,73,38,27,11,46,0.7105,0.3699,0.4865
run_20260501_183332_img_0023,91,37,33,4,58,0.8919,0.3626,0.5156
run_20260501_183332_img_0024,177,55,47,8,130,0.8545,0.2655,0.4052
run_20260501_183332_img_0025,115,46,39,7,76,0.8478,0.3391,0.4845
run_20260501_183332_img_0026,163,54,45,9,118,0.8333,0.2761,0.4147
run_20260501_183332_img_0027,262,113,58,55,204,0.5133,0.2214,0.3093
run_20260501_183332_img_0028,64,13,11,2,53,0.8462,0.1719,0.2857
run_20260501_183332_img_0029,115,26,20,6,95,0.7692,0.1739,0.2837
run_20260501_183332_img_0030,99,40,21,19,78,0.525,0.2121,0.3022
run_20260501_183332_img_0031,114,46,23,23,91,0.5,0.2018,0.2875
run_20260501_183332_img_0032,80,33,23,10,57,0.697,0.2875,0.4071
run_20260501_183332_img_0033,90,29,19,10,71,0.6552,0.2111,0.3193
run_20260501_183332_img_0034,104,18,14,4,90,0.7778,0.1346,0.2295
run_20260501_183332_img_0035,66,17,8,9,58,0.4706,0.1212,0.1928
run_20260501_183332_img_0036,82,18,14,4,68,0.7778,0.1707,0.28
run_20260501_183332_img_0037,80,25,20,5,60,0.8,0.25,0.381
run_20260501_183332_img_0038,73,27,16,11,57,0.5926,0.2192,0.32
run_20260501_183332_img_0039,107,45,28,17,79,0.6222,0.2617,0.3684
run_20260501_183332_img_0040,138,27,18,9,120,0.6667,0.1304,0.2182
run_20260501_183332_img_0041,77,42,19,23,58,0.4524,0.2468,0.3193
run_20260501_183332_img_0042,19,26,9,17,10,0.3462,0.4737,0.4
run_20260501_183332_img_0043,86,28,20,8,66,0.7143,0.2326,0.3509
run_20260501_183332_img_0044,77,29,24,5,53,0.8276,0.3117,0.4528
run_20260501_183332_img_0045,90,20,14,6,76,0.7,0.1556,0.2545
run_20260501_183332_img_0046,101,22,16,6,85,0.7273,0.1584,0.2602
run_20260501_183332_img_0047,112,25,20,5,92,0.8,0.1786,0.292
run_20260501_183332_img_0048,74,19,12,7,62,0.6316,0.1622,0.2581
run_20260501_183332_img_0049,125,34,21,13,104,0.6176,0.168,0.2642
run_20260501_183332_img_0050,109,22,11,11,98,0.5,0.1009,0.1679
run_20260501_183332_img_0051,96,23,17,6,79,0.7391,0.1771,0.2857
run_20260501_183332_img_0052,60,38,23,15,37,0.6053,0.3833,0.4694
run_20260501_183332_img_0053,64,26,19,7,45,0.7308,0.2969,0.4222
run_20260501_183332_img_0054,88,11,6,5,82,0.5455,0.0682,0.1212
run_20260501_183332_img_0055,1,1,1,0,0,1.0,1.0,1.0
run_20260501_183332_img_0056,17,11,3,8,14,0.2727,0.1765,0.2143
run_20260501_183332_img_0057,28,7,5,2,23,0.7143,0.1786,0.2857
run_20260501_183332_img_0058,7,3,2,1,5,0.6667,0.2857,0.4
run_20260501_183332_img_0059,8,1,1,0,7,1.0,0.125,0.2222
run_20260501_183332_img_0060,4,3,2,1,2,0.6667,0.5,0.5714
run_20260501_183332_img_0061,3,1,1,0,2,1.0,0.3333,0.5
run_20260501_183332_img_0062,33,9,6,3,27,0.6667,0.1818,0.2857
run_20260501_183332_img_0063,77,45,38,7,39,0.8444,0.4935,0.623
run_20260501_183332_img_0064,136,63,58,5,78,0.9206,0.4265,0.5829
run_20260501_183332_img_0065,142,57,46,11,96,0.807,0.3239,0.4623
run_20260501_183332_img_0066,118,48,31,17,87,0.6458,0.2627,0.3735
run_20260501_183332_img_0067,74,41,33,8,41,0.8049,0.4459,0.5739
run_20260501_183332_img_0068,30,18,9,9,21,0.5,0.3,0.375
run_20260501_183332_img_0069,1,1,1,0,0,1.0,1.0,1.0
run_20260501_183332_img_0070,12,8,6,2,6,0.75,0.5,0.6
run_20260501_183332_img_0071,13,8,3,5,10,0.375,0.2308,0.2857
run_20260501_183332_img_0072,26,20,6,14,20,0.3,0.2308,0.2609
run_20260501_183332_img_0073,31,23,13,10,18,0.5652,0.4194,0.4815
run_20260501_183332_img_0074,12,14,7,7,5,0.5,0.5833,0.5385
run_20260501_183332_img_0075,61,34,23,11,38,0.6765,0.377,0.4842
run_20260501_183332_img_0076,12,23,7,16,5,0.3043,0.5833,0.4
run_20260501_183332_img_0077,21,19,11,8,10,0.5789,0.5238,0.55
run_20260501_183332_img_0078,28,35,14,21,14,0.4,0.5,0.4444
run_20260501_183332_img_0079,28,14,10,4,18,0.7143,0.3571,0.4762
run_20260501_183332_img_0080,25,30,15,15,10,0.5,0.6,0.5455
run_20260501_183332_img_0081,14,9,6,3,8,0.6667,0.4286,0.5217
run_20260501_183332_img_0082,52,32,14,18,38,0.4375,0.2692,0.3333
run_20260501_183332_img_0083,64,27,12,15,52,0.4444,0.1875,0.2637
run_20260501_183332_img_0084,45,25,13,12,32,0.52,0.2889,0.3714
run_20260501_183332_img_0085,20,2,1,1,19,0.5,0.05,0.0909
run_20260501_183332_img_0086,19,2,0,2,19,0.0,0.0,0.0
run_20260501_183332_img_0087,26,6,3,3,23,0.5,0.1154,0.1875
run_20260501_183332_img_0088,24,15,10,5,14,0.6667,0.4167,0.5128
run_20260501_183332_img_0089,117,36,26,10,91,0.7222,0.2222,0.3399
run_20260501_183332_img_0090,22,5,4,1,18,0.8,0.1818,0.2963
run_20260501_183332_img_0091,10,6,3,3,7,0.5,0.3,0.375
run_20260501_183332_img_0092,8,3,3,0,5,1.0,0.375,0.5455
run_20260501_183332_img_0093,32,20,14,6,18,0.7,0.4375,0.5385
run_20260501_183332_img_0094,17,14,6,8,11,0.4286,0.3529,0.3871
run_20260501_183332_img_0095,23,16,6,10,17,0.375,0.2609,0.3077
