image_id,preprocess_ms,network_delay_ms,queue_wait_ms,inference_latency_ms,total_latency_ms
20260504_194711_img_0001,404.599,958.3255052566528,0.0,2972.123146057129,4335.047651313782
20260504_194711_img_0002,146.985,817.3768520355225,1181.085,19.6654796600341,984.0273316955565
20260504_194711_img_0003,142.584,404.906153678894,242.131,20.2648639678955,567.7550176467895
20260504_194711_img_0004,135.329,346.7364311218261,0.759,31.2988758087158,513.3643069305419
20260504_194711_img_0005,145.97,465.1341438293457,0.0,21.7208862304687,632.8250300598144
20260504_194711_img_0006,140.653,601.2065410614014,0.0,27.758121490478498,769.6176625518799
20260504_194711_img_0007,145.496,470.3462123870849,0.0,25.002717971801697,640.8449303588866
20260504_194711_img_0008,144.711,670.9004640579224,0.0,36.0064506530761,851.6179147109984
20260504_194711_img_0009,142.832,595.0331687927246,0.0,33.9372158050537,771.8023845977783
20260504_194711_img_0010,143.015,524.7538089752197,0.0,43.5383319854736,711.3071409606933
20260504_194711_img_0011,143.88,942.5373077392578,2.003,44.0855026245117,1130.5028103637696
20260504_194711_img_0012,135.04,384.9358558654785,0.0,48.3038425445556,568.2796984100341
20260504_194711_img_0013,133.918,312.5357627868652,0.0,47.7950572967529,494.24882008361806
20260504_194711_img_0014,110.581,529.753565788269,0.616,42.4096584320068,682.7442242202759
20260504_194711_img_0015,111.855,530.3847789764404,0.0,45.7181930541992,687.9579720306397
20260504_194711_img_0016,111.807,464.5498991012573,0.0,39.6425724029541,615.9994715042114
20260504_194711_img_0017,111.943,512.1079683303833,0.0,47.936916351318295,671.9878846817015
20260504_194711_img_0018,111.506,385.6619596481323,0.624,47.0607280731201,544.2286877212524
20260504_194711_img_0019,112.148,460.7886075973511,0.517,46.2284088134765,619.1650164108275
20260504_194711_img_0020,112.447,417.9874658584595,0.0,56.079626083374,586.5140919418335
20260504_194711_img_0021,110.959,298.8873720169067,0.552,46.950578689575096,456.79695070648177
20260504_194711_img_0022,113.222,439.7207498550415,0.0,42.615890502929595,595.5586403579711
20260504_194711_img_0023,113.366,489.1918897628784,0.0,45.2680587768554,647.8259485397338
20260504_194711_img_0024,113.661,474.3491411209106,0.0,48.0585098266601,636.0686509475706
20260504_194711_img_0025,114.775,880.547285079956,0.0,44.3470478057861,1039.6693328857423
20260504_194711_img_0026,113.143,421.2491512298584,0.0,38.2769107818603,572.6690620117187
20260504_194711_img_0027,114.533,534.0845584869385,0.0,50.1420497894287,698.7596082763672
20260504_194711_img_0028,210.407,600.2216339111328,0.627,43.8768863677978,854.5055202789307
20260504_194711_img_0029,174.096,633.4214210510254,0.0,48.0554103851318,855.5728314361572
20260504_194711_img_0030,194.031,627.3186206817627,0.0,43.2946681976318,864.6442888793945
20260504_194711_img_0031,194.316,866.8842315673828,0.0,37.9211902618408,1099.1214218292237
20260504_194711_img_0032,195.005,849.2997884750366,0.0,44.4719791412353,1088.776767616272
20260504_194711_img_0033,197.876,715.0031328201294,0.0,47.9130744934082,960.7922073135376
20260504_194711_img_0034,189.513,836.4943265914917,0.0,45.4106330871582,1071.4179596786498
20260504_194711_img_0035,198.476,731.539249420166,0.0,47.5478172302246,977.5630666503906
20260504_194711_img_0036,191.566,914.9777889251708,0.0,44.5706844329834,1151.114473358154
