image_id,preprocess_ms,network_delay_ms,queue_wait_ms,inference_latency_ms,total_latency_ms
20260504_200454_img_0001,403.538,1632.1638822555542,0.0,3110.525369644165,5146.22725189972
20260504_200454_img_0002,145.926,1203.6693096160889,875.824,16.448974609375,1366.0442842254638
20260504_200454_img_0003,142.227,587.9700183868408,0.0,15.715837478637601,745.9128558654784
20260504_200454_img_0004,135.018,380.3325891494751,0.618,24.806499481201097,540.1570886306762
20260504_200454_img_0005,142.54,449.9450922012329,0.0,21.269321441650302,613.7544136428832
20260504_200454_img_0006,141.853,546.0811853408813,0.0,24.9955654144287,712.9297507553101
20260504_200454_img_0007,143.611,555.3299188613892,0.55,22.7010250091552,721.6419438705443
20260504_200454_img_0008,143.847,547.9692220687866,0.0,30.3130149841308,722.1292370529173
20260504_200454_img_0009,142.989,566.496729850769,0.0,48.8355159759521,758.3212458267212
20260504_200454_img_0010,142.881,696.424126625061,0.0,36.1890792846679,875.4942059097289
20260504_200454_img_0011,141.53,678.8839101791382,0.0,36.6265773773193,857.0404875564575
20260504_200454_img_0012,134.946,574.5121240615845,0.0,43.7352657318115,753.193389793396
20260504_200454_img_0013,136.779,342.8205251693725,0.609,43.8244342803955,523.4239594497681
20260504_200454_img_0014,111.029,454.6012878417969,0.0,50.1635074615478,615.7937953033447
20260504_200454_img_0015,113.058,434.7141981124878,2.007,47.444343566894496,595.2165416793823
20260504_200454_img_0016,112.393,485.4077100753784,0.0,36.630153656005795,634.4308637313842
20260504_200454_img_0017,111.806,465.2425050735473,0.0,38.2947921752929,615.3432972488403
20260504_200454_img_0018,111.244,335.199236869812,0.0,42.996406555175696,489.4396434249877
20260504_200454_img_0019,112.555,405.0025939941406,0.0,33.1354141235351,550.6930081176757
20260504_200454_img_0020,112.912,425.5279302597046,0.0,41.381120681762596,579.8210509414672
20260504_200454_img_0021,111.242,508.71217250823975,0.0,47.0156669616699,666.9698394699096
20260504_200454_img_0022,112.943,831.4800262451172,0.0,44.2743301391601,988.6973563842773
20260504_200454_img_0023,112.476,533.909797668457,0.0,44.2152023315429,690.6009999999999
20260504_200454_img_0024,112.171,574.2367506027222,0.0,44.485330581664996,730.8930811843873
20260504_200454_img_0025,113.946,471.6314077377319,0.607,44.2712306976318,629.8486384353637
20260504_200454_img_0026,112.234,537.9393100738525,0.577,47.8215217590332,697.9948318328858
20260504_200454_img_0027,114.759,669.0335273742676,0.0,47.192573547363196,830.9851009216308
20260504_200454_img_0028,211.351,541.2716865539551,0.0,31.959056854247997,784.5817434082031
20260504_200454_img_0029,174.134,575.7724046707153,0.0,54.0311336517334,803.9375383224487
20260504_200454_img_0030,194.802,886.0694169998169,0.0,47.301292419433494,1128.1727094192504
20260504_200454_img_0031,194.468,807.6931238174438,0.0,44.4278717041015,1046.5889955215453
20260504_200454_img_0032,200.848,743.8614368438721,0.0,44.926643371581996,989.6360802154541
20260504_200454_img_0033,195.361,732.1857213973999,0.0,47.2183227539062,974.7650441513061
20260504_200454_img_0034,188.675,279.4479131698608,0.611,41.6123867034912,509.735299873352
20260504_200454_img_0035,192.04,425.1734018325805,0.0,39.4055843353271,656.6189861679076
20260504_200454_img_0036,193.38,373.2579946517944,0.0,43.8864231109619,610.5244177627562
20260504_200454_img_0037,198.244,714.4925594329834,0.0,46.8652248382568,959.6017842712403
20260504_200454_img_0038,193.815,770.4936265945435,0.0,44.9390411376953,1009.2476677322388
20260504_200454_img_0039,195.462,658.6595773696899,0.0,38.0117893218994,892.1333666915893
20260504_200454_img_0040,195.925,623.7285137176514,0.0,40.7676696777343,860.4211833953857
20260504_200454_img_0041,198.202,568.5561895370483,0.0,46.8001365661621,813.5583261032104
20260504_200454_img_0042,186.566,456.5877914428711,0.589,37.6033782958984,680.7571697387694
20260504_200454_img_0043,197.629,558.7685108184814,0.0,49.8218536376953,806.2193644561768
20260504_200454_img_0044,189.229,393.6336040496826,0.0,50.5144596099853,633.3770636596679
20260504_200454_img_0045,193.107,476.2835502624511,0.0,47.071456909179595,716.4620071716307
20260504_200454_img_0046,197.871,466.9286012649536,0.0,45.867204666137596,710.6668059310912
20260504_200454_img_0047,195.125,417.493462562561,0.0,31.5420627593994,644.1605253219604
20260504_200454_img_0048,193.331,462.7779722213745,0.67,44.8396205902099,700.9485928115844
20260504_200454_img_0049,190.608,416.3365364074707,0.548,42.9987907409668,649.9433271484374
20260504_200454_img_0050,188.938,340.976357460022,1.744,35.6011390686035,565.5154965286255
20260504_200454_img_0051,195.01,431.2596321105957,0.0,48.3431816101074,674.6128137207031
20260504_200454_img_0052,192.332,339.7009372711181,0.0,41.7366027832031,573.7695400543212
20260504_200454_img_0053,194.078,450.5915641784668,0.0,46.2968349456787,690.9663991241455
20260504_200454_img_0054,198.513,329.841136932373,0.0,32.153844833374,560.507981765747
20260504_200454_img_0055,132.565,300.5217313766479,0.0,35.9885692596435,469.0753006362914
20260504_200454_img_0056,121.353,380.1761865615845,0.0,42.4504280090332,543.9796145706176
20260504_200454_img_0057,124.575,649.7585773468018,0.0,45.648097991943295,819.981675338745
20260504_200454_img_0058,123.731,506.8991184234619,0.0,45.4556941986084,676.0858126220703
20260504_200454_img_0059,125.46,489.7115230560303,0.0,34.7659587860107,649.937481842041
20260504_200454_img_0060,118.18,426.0212182998657,0.0,44.140338897705,588.3415571975708
20260504_200454_img_0061,121.741,419.498085975647,0.0,39.1366481781005,580.3757341537474
20260504_200454_img_0062,96.627,473.4296798706054,0.627,32.7246189117431,602.7812987823485
20260504_200454_img_0063,96.737,577.2421360015869,0.0,41.411638259887596,715.3907742614745
20260504_200454_img_0064,95.588,415.321946144104,0.0,45.6359386444091,556.5458847885131
20260504_200454_img_0065,96.444,665.6943559646606,0.0,50.0106811523437,812.1490371170044
20260504_200454_img_0066,96.297,569.6545839309692,0.0,46.118021011352496,712.0696049423218
20260504_200454_img_0067,95.83,646.1080312728882,0.0,50.4004955291748,792.338526802063
20260504_200454_img_0068,115.24,478.6316156387329,0.548,43.1852340698242,637.0568497085571
20260504_200454_img_0069,116.763,522.0388174057007,0.0,47.3804473876953,686.182264793396
20260504_200454_img_0070,117.355,452.7661800384521,1.744,31.6193103790283,601.7404904174804
