image_id,preprocess_ms,network_delay_ms,queue_wait_ms,inference_latency_ms,total_latency_ms
20260504_193111_img_0001,404.807,877.921462059021,0.0,2473.7913608551025,3756.5198229141233
20260504_193111_img_0002,147.915,706.3019275665283,908.18,19.6261405944824,873.8430681610107
20260504_193111_img_0003,142.705,495.1373338699341,0.522,23.9317417144775,661.7740755844117
20260504_193111_img_0004,134.029,611.9157075881958,0.0,19.0629959106445,765.0077034988403
20260504_193111_img_0005,143.747,504.88030910491943,0.0,17.9693698883056,666.5966789932249
20260504_193111_img_0006,141.355,535.5657339096069,0.0,22.6755142211914,699.5962481307984
20260504_193111_img_0007,144.987,914.759874343872,0.69,18.3532238006591,1078.100098144531
20260504_193111_img_0008,144.134,340.2371406555176,0.0,32.0916175842285,516.4627582397461
20260504_193111_img_0009,144.588,325.4032135009765,0.551,32.270431518554595,502.2616450195311
20260504_193111_img_0010,143.286,285.4800224304199,0.0,42.6743030548095,471.44032548522944
20260504_193111_img_0011,140.731,313.6807680130005,0.0,43.475866317749,497.8876343307495
20260504_193111_img_0012,137.38,291.7309999465942,0.605,38.9149188995361,468.02591884613025
20260504_193111_img_0013,133.46,250.8480548858642,0.554,45.6211566925048,429.92921157836906
20260504_193111_img_0014,110.509,348.0818271636963,0.0,44.6424484252929,503.2332755889892
20260504_193111_img_0015,112.037,937.7120733261108,0.0,45.1853275299072,1094.934400856018
20260504_193111_img_0016,112.683,308.2680702209472,0.54,44.5261001586914,465.4771703796386
20260504_193111_img_0017,110.944,301.5556335449219,0.741,43.2777404785156,455.7773740234375
20260504_193111_img_0018,110.296,261.8193626403808,0.0,43.7250137329101,415.8403763732909
20260504_193111_img_0019,111.7,1460.0751399993896,0.0,38.1045341491699,1609.8796741485596
20260504_193111_img_0020,113.153,804.9627542495728,0.0,44.3038940429687,962.4196482925415
20260504_193111_img_0021,112.739,548.4186410903931,0.541,42.073249816894496,703.2308909072876
20260504_193111_img_0022,113.644,896.9634771347046,0.0,46.7443466186523,1057.351823753357
20260504_193111_img_0023,111.308,1504.528522491455,0.0,45.9682941436767,1661.8048166351318
20260504_193111_img_0024,114.103,1005.2288770675659,0.0,46.666145324706996,1165.998022392273
20260504_193111_img_0025,112.265,831.2653303146362,0.0,42.3431396484375,985.8734699630737
20260504_193111_img_0026,111.684,1036.6027355194092,0.527,33.477783203125,1181.7645187225341
20260504_193111_img_0027,114.997,979.7080755233764,0.0,46.8325614929199,1141.5376370162962
20260504_193111_img_0028,210.796,1566.1118030548096,1.393,42.8524017333984,1819.760204788208
20260504_193111_img_0029,175.225,1374.1722106933594,0.721,42.7112579345703,1592.1084686279296
20260504_193111_img_0030,199.477,1267.511248588562,0.538,43.5574054718017,1510.5456540603639
20260504_193111_img_0031,194.148,1443.384885787964,0.558,45.2363491058349,1682.769234893799
20260504_193111_img_0032,194.22,1465.6723737716677,0.0,46.3166236877441,1706.2089974594119
20260504_193111_img_0033,196.827,1643.675684928894,0.0,44.5618629455566,1885.0645478744507
20260504_193111_img_0034,189.679,992.5312995910645,0.0,44.238805770874,1226.4491053619386
20260504_193111_img_0035,194.664,959.6320390701294,0.515,42.4180030822753,1196.7140421524045
20260504_193111_img_0036,190.686,1581.504225730896,0.0,38.3763313293457,1810.5665570602416
20260504_193111_img_0037,196.538,985.4466915130616,0.0,44.8827743530273,1226.8674658660889
20260504_193111_img_0038,194.914,1299.8851537704468,0.0,39.5634174346923,1534.3625712051391
20260504_193111_img_0039,196.266,1629.6042203903198,0.0,46.9272136688232,1872.7974340591431
20260504_193111_img_0040,194.562,1866.3029670715327,0.0,45.3722476959228,2106.2372147674555
20260504_193111_img_0041,198.746,2061.429977416992,0.0,46.3714599609375,2306.54743737793
20260504_193111_img_0042,186.329,3666.589379310608,0.0,35.1471900939941,3888.0655694046022
20260504_193111_img_0043,196.634,745.5345392227173,0.639,45.4473495483398,987.6158887710571
20260504_193111_img_0044,193.101,435.173749923706,0.0,41.7311191558837,670.0058690795897
20260504_193111_img_0045,192.334,428.5290241241455,0.0,44.2266464233398,665.0896705474853
20260504_193111_img_0046,197.4,484.6181869506836,0.0,43.198823928833,725.2170108795166
20260504_193111_img_0047,195.223,393.3433294296264,0.0,45.191526412963796,633.7578558425903
20260504_193111_img_0048,191.708,431.7400455474853,0.0,37.940502166748,661.3885477142333
20260504_193111_img_0049,191.808,360.4466915130615,0.0,45.4261302947998,597.6808218078613
20260504_193111_img_0050,188.747,620.042085647583,0.0,46.8597412109375,855.6488268585206
20260504_193111_img_0051,193.175,390.5495405197143,0.534,41.3346290588378,625.0591695785521
20260504_193111_img_0052,191.398,432.9402446746826,0.542,41.5503978729248,665.8886425476074
20260504_193111_img_0053,192.171,445.4637765884399,0.0,44.4662570953369,682.1010336837768
20260504_193111_img_0054,193.606,409.0032577514648,0.0,43.4591770172119,646.0684347686768
20260504_193111_img_0055,132.945,340.5178785324096,0.0,44.7604656219482,518.2233441543578
20260504_193111_img_0056,120.362,402.9691219329834,0.529,44.6205139160156,567.951635848999
20260504_193111_img_0057,123.667,473.310112953186,0.533,43.2686805725097,640.2457935256957
20260504_193111_img_0058,122.044,272.0080614089966,0.0,44.142961502075096,438.19502291107165
20260504_193111_img_0059,124.915,361.8775606155395,0.507,43.5807704925537,530.3733311080932
20260504_193111_img_0060,117.121,413.844347000122,0.0,40.3077602386474,571.2731072387694
20260504_193111_img_0061,120.561,462.863564491272,0.514,42.800188064575096,626.2247525558471
20260504_193111_img_0062,96.843,419.0849065780639,0.0,43.2660579681396,559.1939645462035
20260504_193111_img_0063,96.314,402.2876024246216,0.626,41.7017936706543,540.3033960952758
20260504_193111_img_0064,94.935,1752.2470951080322,0.0,45.0799465179443,1892.2620416259765
20260504_193111_img_0065,98.369,1099.7909307479858,0.542,43.728828430175696,1241.8887591781615
20260504_193111_img_0066,97.609,983.384609222412,0.0,46.3497638702392,1127.343373092651
20260504_193111_img_0067,97.162,783.3758592605591,0.599,44.685840606689396,925.2236998672486
20260504_193111_img_0068,116.404,698.7261772155762,0.608,42.8903102874755,858.0204875030516
20260504_193111_img_0069,116.86,595.919132232666,0.0,45.351505279541,758.130637512207
20260504_193111_img_0070,116.363,723.7434387207031,0.0,42.6945686340332,882.8010073547364
20260504_193111_img_0071,119.112,595.4360961914062,0.535,45.6221103668212,760.1702065582274
20260504_193111_img_0072,118.028,861.3061904907227,0.0,44.0714359283447,1023.4056264190674
20260504_193111_img_0073,115.413,734.6220016479492,0.0,71.6626644134521,921.6976660614014
20260504_193111_img_0074,117.796,640.6606435775757,0.532,41.9032573699951,800.3599009475708
20260504_193111_img_0075,115.776,602.2063493728638,0.0,35.918474197387596,753.9008235702513
20260504_193111_img_0076,112.91,606.4883470535278,0.0,45.5338954925537,764.9322425460815
20260504_193111_img_0077,116.705,556.2914609909058,0.0,46.0410118103027,719.0374728012085
20260504_193111_img_0078,113.327,615.7071590423584,0.518,42.820930480956996,771.8550895233154
20260504_193111_img_0079,113.236,572.7642774581909,0.0,43.8916683197021,729.891945777893
20260504_193111_img_0080,112.235,674.209713935852,0.0,45.4351902008056,831.8799041366576
20260504_193111_img_0081,120.257,925.3510236740112,0.0,43.792009353637596,1089.4000330276488
20260504_193111_img_0082,189.922,792.7008867263794,0.0,46.577930450439396,1029.2008171768189
20260504_193111_img_0083,208.066,877.124547958374,0.0,43.0819988250732,1128.2725467834473
20260504_193111_img_0084,197.861,884.1893672943115,0.507,40.1711463928222,1122.2215136871337
20260504_193111_img_0085,209.431,347.6831912994385,0.0,46.0386276245117,603.1528189239502
